dataset,split,feature,num_images,spearman_corr_with_grade,pearson_corr_with_grade,mean_grade_0,mean_grade_4,grade_4_minus_grade_0
ALL,ALL,total_lesion_union_area_ratio,4178,0.766068308126518,0.5691484882947105,0.0014202989905966,0.0214710930148426,0.0200507940242459
ALL,ALL,hard_exudates_area_ratio,4178,0.7198245051419822,0.395965411838372,0.0002673768296316,0.0069261011289281,0.0066587242992964
ALL,ALL,microaneurysms_area_ratio,4178,0.7064504876482401,0.5808748426993517,0.0001808413985533,0.0018573408367252,0.0016764994381719
ALL,ALL,haemorrhages_area_ratio,4178,0.6800170368141578,0.4290874245172859,0.0006276095390802,0.01179287480373,0.0111652652646497
ALL,ALL,soft_exudates_area_ratio,4178,0.3545617725099398,0.341938014782652,0.0004836003670399,0.0027143334140296,0.0022307330469896
ALL,ALL,lesion_presence_count,4178,0.3405473517746883,0.3249990995518451,3.351748606183477,3.882352941176471,0.5306043349929936
APTOS2019,ALL,total_lesion_union_area_ratio,3662,0.782423241191679,0.5866439010817316,0.0014182917629252,0.0205377998998609,0.0191195081369357
APTOS2019,ALL,hard_exudates_area_ratio,3662,0.746678742999076,0.413674576332954,0.0002568295127467,0.0069438998982057,0.006687070385459
APTOS2019,ALL,microaneurysms_area_ratio,3662,0.7023775020439305,0.5866354110977041,0.0001857176381795,0.0017039541470802,0.0015182365089006
APTOS2019,ALL,haemorrhages_area_ratio,3662,0.6735394211139091,0.4404080959120627,0.0006080416100837,0.0106478933560645,0.0100398517459808
APTOS2019,ALL,soft_exudates_area_ratio,3662,0.3718379158000217,0.3560071125615286,0.0005087305634305,0.0029106010824946,0.0024018705190641
APTOS2019,ALL,lesion_presence_count,3662,0.3494339839131563,0.3275281521342999,3.4310249307479226,3.901694915254237,0.4706699845063147
IDRiD,ALL,microaneurysms_area_ratio,516,0.7861757635094478,0.5641234188248192,0.0001284508478073,0.0025871646019719,0.0024587137541646
IDRiD,ALL,haemorrhages_area_ratio,516,0.7730127922034516,0.3933555265598329,0.0008378483000255,0.0172407704014931,0.0164029221014676
IDRiD,ALL,total_lesion_union_area_ratio,516,0.7513111416254529,0.4887080026773291,0.0014418647402808,0.0259117618683845,0.0244698971281036
IDRiD,ALL,hard_exudates_area_ratio,516,0.5905971384553538,0.3066851814130339,0.0003806977044968,0.0068414134363974,0.0064607157319005
IDRiD,ALL,lesion_presence_count,516,0.5877980280512901,0.58489909840956,2.5,3.7903225806451615,1.2903225806451617
IDRiD,ALL,soft_exudates_area_ratio,516,0.5002886951127176,0.3150953674400022,0.0002136003403436,0.0017804791850428,0.0015668788446991
