feature,source
effnet_prob_0,efficientnet
effnet_prob_1,efficientnet
effnet_prob_2,efficientnet
effnet_prob_3,efficientnet
effnet_prob_4,efficientnet
effnet_confidence,efficientnet
effnet_expected_grade,efficientnet
haemorrhages_area_pixels,lesion
haemorrhages_area_ratio,lesion
haemorrhages_component_count,lesion
haemorrhages_largest_component_area_pixels,lesion
haemorrhages_largest_component_area_ratio,lesion
haemorrhages_presence,lesion
haemorrhages_prob_max,lesion
haemorrhages_prob_mean,lesion
hard_exudates_area_pixels,lesion
hard_exudates_area_ratio,lesion
hard_exudates_component_count,lesion
hard_exudates_largest_component_area_pixels,lesion
hard_exudates_largest_component_area_ratio,lesion
hard_exudates_presence,lesion
hard_exudates_prob_max,lesion
hard_exudates_prob_mean,lesion
lesion_presence_count,lesion
microaneurysms_area_pixels,lesion
microaneurysms_area_ratio,lesion
microaneurysms_component_count,lesion
microaneurysms_largest_component_area_pixels,lesion
microaneurysms_largest_component_area_ratio,lesion
microaneurysms_presence,lesion
microaneurysms_prob_max,lesion
microaneurysms_prob_mean,lesion
soft_exudates_area_pixels,lesion
soft_exudates_area_ratio,lesion
soft_exudates_component_count,lesion
soft_exudates_largest_component_area_pixels,lesion
soft_exudates_largest_component_area_ratio,lesion
soft_exudates_presence,lesion
soft_exudates_prob_max,lesion
soft_exudates_prob_mean,lesion
total_lesion_sum_area_pixels,lesion
total_lesion_sum_area_ratio,lesion
total_lesion_union_area_pixels,lesion
total_lesion_union_area_ratio,lesion
