dataset,split,label,label_name,num_images,total_lesion_union_area_ratio_mean,total_lesion_union_area_ratio_std,total_lesion_union_area_ratio_median,total_lesion_union_area_ratio_min,total_lesion_union_area_ratio_max,total_lesion_sum_area_ratio_mean,total_lesion_sum_area_ratio_std,total_lesion_sum_area_ratio_median,total_lesion_sum_area_ratio_min,total_lesion_sum_area_ratio_max,microaneurysms_area_ratio_mean,microaneurysms_area_ratio_std,microaneurysms_area_ratio_median,microaneurysms_area_ratio_min,microaneurysms_area_ratio_max,haemorrhages_area_ratio_mean,haemorrhages_area_ratio_std,haemorrhages_area_ratio_median,haemorrhages_area_ratio_min,haemorrhages_area_ratio_max,hard_exudates_area_ratio_mean,hard_exudates_area_ratio_std,hard_exudates_area_ratio_median,hard_exudates_area_ratio_min,hard_exudates_area_ratio_max,soft_exudates_area_ratio_mean,soft_exudates_area_ratio_std,soft_exudates_area_ratio_median,soft_exudates_area_ratio_min,soft_exudates_area_ratio_max,microaneurysms_prob_mean_mean,microaneurysms_prob_mean_std,microaneurysms_prob_mean_median,microaneurysms_prob_mean_min,microaneurysms_prob_mean_max,haemorrhages_prob_mean_mean,haemorrhages_prob_mean_std,haemorrhages_prob_mean_median,haemorrhages_prob_mean_min,haemorrhages_prob_mean_max,hard_exudates_prob_mean_mean,hard_exudates_prob_mean_std,hard_exudates_prob_mean_median,hard_exudates_prob_mean_min,hard_exudates_prob_mean_max,soft_exudates_prob_mean_mean,soft_exudates_prob_mean_std,soft_exudates_prob_mean_median,soft_exudates_prob_mean_min,soft_exudates_prob_mean_max,microaneurysms_component_count_mean,microaneurysms_component_count_std,microaneurysms_component_count_median,microaneurysms_component_count_min,microaneurysms_component_count_max,haemorrhages_component_count_mean,haemorrhages_component_count_std,haemorrhages_component_count_median,haemorrhages_component_count_min,haemorrhages_component_count_max,hard_exudates_component_count_mean,hard_exudates_component_count_std,hard_exudates_component_count_median,hard_exudates_component_count_min,hard_exudates_component_count_max,soft_exudates_component_count_mean,soft_exudates_component_count_std,soft_exudates_component_count_median,soft_exudates_component_count_min,soft_exudates_component_count_max,lesion_presence_count_mean,lesion_presence_count_std,lesion_presence_count_median,lesion_presence_count_min,lesion_presence_count_max
APTOS2019,test,0,No DR,199,0.0016052782835073458,0.0036653222225878227,0.0006179809570312,1.1444091796875e-05,0.0431594848632812,0.001763904514025169,0.003791394232797691,0.0007514953613281,1.1444091796875e-05,0.0438156127929687,0.00020957831761343995,0.0002618512412809375,0.0001220703125,1.1444091796875e-05,0.0020256042480468,0.0009338723954243633,0.00339770315625983,0.000213623046875,0.0,0.0426445007324218,0.00010976360071842902,0.0002890328010652594,1.52587890625e-05,0.0,0.0020713806152343,0.000510690200268905,0.0009905024543043752,9.1552734375e-05,0.0,0.0067596435546875,0.014455785703419424,0.001759804527616173,0.0134353637695312,0.0122299194335937,0.018280029296875,0.00419000405163018,0.0031692917963873583,0.0034637451171875,0.002716064453125,0.041717529296875,0.005951962878356589,0.0006080140369532416,0.0057144165039062,0.0049552917480468,0.009521484375,0.02360695690365892,0.0027615237694389016,0.02227783203125,0.0196685791015625,0.030853271484375,8.160804020100503,7.71684968411699,6.0,1,48,3.613065326633166,3.43129244294977,3.0,0,19,2.608040201005025,4.472941734021524,1.0,0,33,3.0452261306532664,3.9303230422299182,2.0,0,42,3.35678391959799,0.7023350006040198,3.0,1,4
APTOS2019,test,1,Mild,30,0.004168828328450483,0.0030607471078330614,0.00337409973144525,7.2479248046875e-05,0.0110855102539062,0.004645792643229148,0.003288048182515491,0.00395011901855465,9.918212890625e-05,0.0112953186035156,0.00051294962565101,0.0003871802489272888,0.00037956237792965,1.9073486328125e-05,0.00146484375,0.0016569773356119564,0.0016670690549269917,0.0011463165283203,1.52587890625e-05,0.0064582824707031,0.0017452239990234017,0.0021463768045646182,0.0010585784912109,1.1444091796875e-05,0.0101776123046875,0.0007306416829426884,0.0010273651968615899,0.00020599365234370002,0.0,0.003753662109375,0.013427225748697884,0.000598086856116864,0.0132637023925781,0.0125808715820312,0.0152359008789062,0.00444749196370439,0.0015886645315885308,0.0039558410644531,0.0027656555175781,0.0089111328125,0.007573191324869757,0.002402511449704718,0.006814956665039,0.0053596496582031,0.0167388916015625,0.022528584798177084,0.0024818092289378636,0.02179718017578125,0.02001953125,0.029998779296875,15.066666666666666,11.404576617134543,12.0,2,47,7.566666666666666,5.360669884370366,6.0,1,22,15.666666666666666,14.05244691745235,12.5,1,55,2.7666666666666666,3.420862296347912,1.5,0,15,3.7333333333333334,0.4497764451088036,4.0,3,4
APTOS2019,test,2,Moderate,87,0.01285877447018674,0.011059658851752347,0.0095176696777343,4.1961669921875e-05,0.0661811828613281,0.01389325898269123,0.011635283083415014,0.010467529296875,4.1961669921875e-05,0.0693206787109375,0.0010740784392959434,0.0008626871832950928,0.0009040832519531,1.1444091796875e-05,0.0053291320800781,0.0036054589282506822,0.004026608826375568,0.0027427673339843,0.0,0.0274009704589843,0.007293043465449854,0.009021865136771525,0.0036582946777343,0.0,0.0517539978027343,0.0019206781496946593,0.0024334248857175913,0.0006980895996093,0.0,0.0113105773925781,0.014087019295527994,0.0011305285421097052,0.0138931274414062,0.0106658935546875,0.01812744140625,0.006423270565339854,0.0038695955646845326,0.0054969787597656,0.0027351379394531,0.029571533203125,0.013807011746812115,0.009549281153346866,0.01019287109375,0.0054588317871093,0.059600830078125,0.0248577951014727,0.0037381891106071535,0.023468017578125,0.0199432373046875,0.037139892578125,26.942528735632184,19.358524546072946,22.0,1,84,13.89655172413793,10.059167382852669,13.0,0,49,37.91954022988506,32.65756737362563,30.0,0,144,4.160919540229885,4.173207910096598,3.0,0,19,3.8275862068965516,0.4368730471686504,4.0,2,4
APTOS2019,test,3,Severe,17,0.027852451100068887,0.018907033448125887,0.02313232421875,0.0116996765136718,0.0864753723144531,0.02959621653837313,0.01888042190504581,0.0243911743164062,0.0128173828125,0.0867385864257812,0.0018456402946920645,0.0012023221664081872,0.0017356872558593,0.0003128051757812,0.0053138732910156,0.0088108287138097,0.007562309821435317,0.0061836242675781,0.0013809204101562,0.0301895141601562,0.014709921444163564,0.02067200761668169,0.0107383728027343,0.0001640319824218,0.0850372314453125,0.004229826085707686,0.007561173632345484,0.0014305114746093,7.62939453125e-06,0.0295677185058593,0.015278086942784907,0.0020770056584498,0.0150070190429687,0.0120925903320312,0.0202178955078125,0.011502883013556953,0.007277849443496412,0.0089797973632812,0.004150390625,0.0323486328125,0.0221723668715533,0.02148687811977407,0.017669677734375,0.00701904296875,0.0941162109375,0.02948267319623162,0.010150359976855134,0.0260467529296875,0.021942138671875,0.062103271484375,56.11764705882353,34.637195240343104,47.0,13,134,28.823529411764707,16.830906445129624,25.0,6,63,66.52941176470588,52.2973680588455,48.0,2,167,7.235294117647059,6.310006059473179,6.0,1,24,4.0,0.0,4.0,4,4
APTOS2019,test,4,Proliferative DR,33,0.021807583895596557,0.033410011720153586,0.0113449096679687,0.0012016296386718,0.1897315979003906,0.023266994591915204,0.034418163387836036,0.0117416381835937,0.0014305114746093,0.1950569152832031,0.0014828768643465546,0.0015886145409912034,0.0009727478027343,0.0001716613769531,0.0062446594238281,0.01221408266009703,0.031865936298312164,0.0038909912109375,2.288818359375e-05,0.1844825744628906,0.006901480934836609,0.011434238899326606,0.0027427673339843,0.0,0.0613212585449218,0.0026685541326349157,0.0032995724359885883,0.0014457702636718,0.0,0.01165771484375,0.014933961810487669,0.0022349430592814644,0.0144271850585937,0.0126724243164062,0.0239715576171875,0.014566999493223216,0.029923348099963026,0.0068283081054687,0.0026874542236328,0.1763916015625,0.013619856400923266,0.012015551052675487,0.0089111328125,0.0055427551269531,0.0703125,0.02667883670691288,0.004523672919093818,0.02587890625,0.020172119140625,0.037994384765625,41.60606060606061,38.403238302533964,25.0,7,150,18.727272727272727,16.384582553563746,13.0,1,77,37.121212121212125,33.45123089640871,29.0,0,134,8.121212121212121,6.323357374437134,7.0,0,27,3.878787878787879,0.33143398263980844,4.0,3,4
APTOS2019,train,0,No DR,1434,0.001364602869690843,0.0020212681452806097,0.0006599426269531,1.1444091796875e-05,0.0247917175292968,0.0015020756209411683,0.002143344805197083,0.0007553100585937,1.1444091796875e-05,0.0262832641601562,0.00018120876083478325,0.0002016102246125329,0.0001220703125,1.1444091796875e-05,0.0016098022460937,0.0005426127541513872,0.0009857919505198223,0.0002288818359375,0.0,0.0167579650878906,0.0002707610402978343,0.0011829610487826337,3.0517578125e-05,0.0,0.0190887451171875,0.000507493065657124,0.0010777434151275766,0.0001125335693359,0.0,0.0197868347167968,0.014477595458303351,0.0018178461187440033,0.0133895874023437,0.0113601684570312,0.018310546875,0.0038384353765383503,0.0011886711416819636,0.0034694671630859,0.0024318695068359,0.0195159912109375,0.0061516515713189905,0.0014961889662276557,0.0057449340820312,0.0043449401855468,0.0281982421875,0.023758785827721843,0.0029714821978215782,0.0224151611328125,0.0191802978515625,0.0421142578125,7.375174337517434,5.6020729518884576,6.0,1,52,3.493723849372385,3.1521593430261703,3.0,0,29,4.083682008368201,10.783731969878637,1.0,0,244,2.905857740585774,3.1479333149866737,2.0,0,58,3.4511854951185494,0.705418656734336,4.0,1,4
APTOS2019,train,1,Mild,300,0.004767214457193973,0.006415752836916909,0.0026855468749999497,1.1444091796875e-05,0.0431900024414062,0.005139757792154912,0.006591869757339954,0.00308990478515625,1.1444091796875e-05,0.0441932678222656,0.0004106903076171528,0.0003361886292071219,0.00031852722167965,1.1444091796875e-05,0.0015716552734375,0.0016294225056965816,0.0032497233738207963,0.0007686614990234,0.0,0.0285110473632812,0.0024639892578124673,0.005206405670843953,0.00071907043457025,0.0,0.0348129272460937,0.0006356557210286249,0.0010160931200949442,0.0001239776611328,0.0,0.0064239501953125,0.013342336018880185,0.0007894487848302422,0.01313400268554685,0.0122299194335937,0.0173797607421875,0.0043988990783691015,0.0030973517294625185,0.00359821319580075,0.002573013305664,0.02923583984375,0.008259557088216114,0.00555184215563345,0.0064144134521484,0.0051536560058593,0.041748046875,0.022099609375,0.0020048136446192823,0.021759033203125,0.0190582275390625,0.032379150390625,11.476666666666667,9.299699111662004,10.0,1,71,5.8933333333333335,4.672765563946856,5.0,0,28,15.223333333333333,18.49776599244514,8.0,0,138,2.5566666666666666,3.3262092209441465,2.0,0,36,3.6666666666666665,0.5506659594392707,4.0,1,4
APTOS2019,train,2,Moderate,808,0.014677434864610692,0.013397301535317235,0.0109901428222656,0.0003547668457031,0.0975265502929687,0.015691766644468363,0.01386737076192492,0.0118160247802734,0.0004501342773437,0.0981178283691406,0.001045005156262054,0.0009169307639350502,0.000833511352539,1.1444091796875e-05,0.0072669982910156,0.004112498594982752,0.00530143506064499,0.0027980804443359,0.0,0.0519027709960937,0.008865550012871735,0.011802545305708453,0.0043067932128906,0.0,0.0941696166992187,0.0016687128803517279,0.0023051743494187874,0.0008506774902343501,0.0,0.0196952819824218,0.014075184812640175,0.0011940395698392477,0.0139503479003906,0.010223388671875,0.0218963623046875,0.006931871470838455,0.00507804487348728,0.0055904388427734,0.0021286010742187,0.053314208984375,0.015476146546920908,0.012572486803087438,0.0108680725097656,0.0047721862792968,0.1043701171875,0.024974048727809794,0.004180434299340081,0.02386474609375,0.01806640625,0.052520751953125,27.92079207920792,21.612933008400603,23.0,1,163,14.047029702970297,10.529018900062695,11.0,0,69,43.67450495049505,40.44218715170282,33.0,0,235,5.252475247524752,6.624884095640866,3.0,0,68,3.868811881188119,0.3414635375367166,4.0,2,4
APTOS2019,train,3,Severe,154,0.028741539298713946,0.018787010734554757,0.02430725097656245,0.0015716552734375,0.0951919555664062,0.031001103388798662,0.019747690806511363,0.02684974670410155,0.0020027160644531,0.0982017517089843,0.0022798265729631314,0.0017815817785139278,0.0019454956054687,7.2479248046875e-05,0.010711669921875,0.011067278973467905,0.010015626678633083,0.008537292480468701,0.0,0.0564498901367187,0.014343558967887544,0.016978334102683294,0.00790786743164055,0.0,0.0829925537109375,0.0033104388744799756,0.004111639413449117,0.0020408630371093,0.0,0.0337142944335937,0.015121212253322832,0.001529279278190833,0.0147781372070312,0.0122909545898437,0.02020263671875,0.013613911418171651,0.00934821862343282,0.01144027709960935,0.0029716491699218,0.055938720703125,0.02186178232168221,0.01824759354198598,0.01593780517578125,0.0056877136230468,0.0963134765625,0.028742307192319398,0.007189192163977038,0.027008056640625,0.0186614990234375,0.0687255859375,63.467532467532465,43.61135080872506,59.0,4,275,31.292207792207794,21.21256420287551,29.0,0,145,74.24025974025975,64.64635371231782,57.0,0,262,10.285714285714286,14.1678612117894,6.0,0,111,3.9285714285714284,0.28254545257906594,4.0,2,4
APTOS2019,train,4,Proliferative DR,234,0.02047067625909785,0.019421097564943708,0.01325798034667965,0.0002174377441406,0.1159133911132812,0.022200152405306785,0.020579251380993754,0.0149192810058593,0.0002899169921875,0.121673583984375,0.0017768827259030747,0.0015383095683911727,0.00131607055664055,1.1444091796875e-05,0.0088768005371093,0.010683255317883578,0.01593099411365513,0.0049667358398437,0.0,0.1144561767578125,0.006887093568459502,0.009673551432577298,0.0028114318847656,0.0,0.0553970336914062,0.002852920793060533,0.004912641508479622,0.0012359619140624501,0.0,0.0296707153320312,0.01487089629866117,0.0016641464458962516,0.01462936401367185,0.011566162109375,0.021942138671875,0.013179029154981276,0.0150871599380298,0.00799560546874995,0.0027351379394531,0.11077880859375,0.013615241417518006,0.010498172141161055,0.00942230224609375,0.0052642822265625,0.065185546875,0.027011577899639424,0.007286449836904518,0.02477264404296875,0.018768310546875,0.059844970703125,47.11965811965812,37.96184268857086,35.0,1,209,21.49145299145299,15.190702332832858,18.0,0,82,39.85470085470085,37.94863593363315,29.0,0,201,8.324786324786325,9.584347987682664,5.0,0,77,3.8974358974358974,0.30403905849760415,4.0,3,4
