dataset,split,image_id,label,label_name,image_path,total_lesion_union_area_pixels,total_lesion_union_area_ratio,total_lesion_sum_area_pixels,total_lesion_sum_area_ratio,microaneurysms_area_pixels,microaneurysms_area_ratio,microaneurysms_presence,microaneurysms_prob_mean,microaneurysms_prob_max,microaneurysms_component_count,microaneurysms_largest_component_area_pixels,microaneurysms_largest_component_area_ratio,haemorrhages_area_pixels,haemorrhages_area_ratio,haemorrhages_presence,haemorrhages_prob_mean,haemorrhages_prob_max,haemorrhages_component_count,haemorrhages_largest_component_area_pixels,haemorrhages_largest_component_area_ratio,hard_exudates_area_pixels,hard_exudates_area_ratio,hard_exudates_presence,hard_exudates_prob_mean,hard_exudates_prob_max,hard_exudates_component_count,hard_exudates_largest_component_area_pixels,hard_exudates_largest_component_area_ratio,soft_exudates_area_pixels,soft_exudates_area_ratio,soft_exudates_presence,soft_exudates_prob_mean,soft_exudates_prob_max,soft_exudates_component_count,soft_exudates_largest_component_area_pixels,soft_exudates_largest_component_area_ratio,lesion_presence_count
IDRiD,train,IDRiD_001,3,Severe,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_001.jpg,7315,0.027904510498046875,7691,0.029338836669921875,416,0.0015869140625,1,0.01467132568359375,0.402587890625,33,55,0.000209808349609375,1815,0.006923675537109375,1,0.00958251953125,0.9970703125,23,481,0.001834869384765625,5460,0.0208282470703125,1,0.0285797119140625,0.9990234375,86,1213,0.004627227783203125,0,0.0,0,0.02349853515625,0.73583984375,0,0,0.0,3
IDRiD,train,IDRiD_002,3,Severe,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_002.jpg,3333,0.012714385986328125,3471,0.013240814208984375,147,0.000560760498046875,1,0.0143585205078125,0.3154296875,17,23,8.7738037109375e-05,418,0.00159454345703125,1,0.004482269287109375,0.9951171875,9,146,0.00055694580078125,2887,0.011013031005859375,1,0.017913818359375,0.99951171875,49,522,0.00199127197265625,19,7.2479248046875e-05,1,0.023223876953125,0.90478515625,2,15,5.7220458984375e-05,4
IDRiD,train,IDRiD_003,2,Moderate,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_003.jpg,730,0.00278472900390625,769,0.002933502197265625,49,0.000186920166015625,1,0.01445770263671875,0.31884765625,5,36,0.0001373291015625,156,0.0005950927734375,1,0.003604888916015625,0.9912109375,2,155,0.000591278076171875,564,0.0021514892578125,1,0.00806427001953125,0.998046875,9,443,0.001689910888671875,0,0.0,0,0.0220947265625,0.60986328125,0,0,0.0,3
IDRiD,train,IDRiD_004,3,Severe,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_004.jpg,2246,0.00856781005859375,2468,0.0094146728515625,232,0.000885009765625,1,0.01471710205078125,0.314697265625,19,43,0.000164031982421875,696,0.002655029296875,1,0.005558013916015625,0.9970703125,12,189,0.000720977783203125,1306,0.00498199462890625,1,0.011474609375,0.9990234375,37,201,0.000766754150390625,234,0.00089263916015625,1,0.0236053466796875,0.98095703125,1,234,0.00089263916015625,4
IDRiD,train,IDRiD_005,4,Proliferative DR,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_005.jpg,5029,0.019184112548828125,5486,0.02092742919921875,465,0.001773834228515625,1,0.016143798828125,0.35498046875,47,38,0.00014495849609375,5021,0.019153594970703125,1,0.0211639404296875,0.99560546875,11,1588,0.0060577392578125,0,0.0,0,0.005794525146484375,0.140869140625,0,0,0.0,0,0.0,0,0.0216827392578125,0.31298828125,0,0,0.0,2
IDRiD,train,IDRiD_006,4,Proliferative DR,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_006.jpg,978,0.00373077392578125,1192,0.004547119140625,233,0.000888824462890625,1,0.0146331787109375,0.41845703125,22,31,0.000118255615234375,768,0.0029296875,1,0.0058135986328125,0.998046875,9,307,0.001171112060546875,38,0.00014495849609375,1,0.005950927734375,0.9921875,2,27,0.000102996826171875,153,0.000583648681640625,1,0.0226593017578125,0.982421875,1,153,0.000583648681640625,4
IDRiD,train,IDRiD_007,4,Proliferative DR,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_007.jpg,1672,0.006378173828125,1939,0.007396697998046875,288,0.0010986328125,1,0.01525115966796875,0.388671875,32,31,0.000118255615234375,1202,0.00458526611328125,1,0.0074462890625,0.99560546875,15,298,0.00113677978515625,42,0.00016021728515625,1,0.006175994873046875,0.98388671875,4,24,9.1552734375e-05,407,0.001552581787109375,1,0.0240325927734375,0.98095703125,2,362,0.00138092041015625,4
IDRiD,train,IDRiD_008,4,Proliferative DR,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_008.jpg,3537,0.013492584228515625,3900,0.0148773193359375,392,0.001495361328125,1,0.015411376953125,0.457763671875,55,34,0.00012969970703125,1774,0.00676727294921875,1,0.00963592529296875,0.9970703125,26,209,0.000797271728515625,1542,0.00588226318359375,1,0.0131988525390625,0.9990234375,66,322,0.00122833251953125,192,0.000732421875,1,0.0247650146484375,0.962890625,6,142,0.00054168701171875,4
IDRiD,train,IDRiD_009,3,Severe,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_009.jpg,1745,0.006656646728515625,1966,0.00749969482421875,209,0.000797271728515625,1,0.0147705078125,0.381103515625,25,50,0.00019073486328125,673,0.002567291259765625,1,0.005474090576171875,0.99658203125,9,367,0.001399993896484375,805,0.003070831298828125,1,0.00939178466796875,0.99853515625,28,151,0.000576019287109375,279,0.001064300537109375,1,0.0238494873046875,0.98095703125,7,216,0.000823974609375,4
IDRiD,train,IDRiD_010,4,Proliferative DR,D:\retinaguard-ai\data\raw\IDRiD\disease_grading\B. Disease Grading\1. Original Images\a. Training Set\IDRiD_010.jpg,4209,0.016056060791015625,5067,0.019329071044921875,824,0.003143310546875,1,0.0164031982421875,0.440673828125,72,55,0.000209808349609375,1744,0.00665283203125,1,0.00937652587890625,0.99755859375,21,533,0.002033233642578125,345,0.001316070556640625,1,0.0085906982421875,0.9951171875,17,70,0.00026702880859375,2154,0.00821685791015625,1,0.033050537109375,0.98193359375,14,368,0.00140380859375,4
