dataset,split,image_id,label,label_name,image_path,total_lesion_union_area_pixels,total_lesion_union_area_ratio,total_lesion_sum_area_pixels,total_lesion_sum_area_ratio,microaneurysms_area_pixels,microaneurysms_area_ratio,microaneurysms_presence,microaneurysms_prob_mean,microaneurysms_prob_max,microaneurysms_component_count,microaneurysms_largest_component_area_pixels,microaneurysms_largest_component_area_ratio,haemorrhages_area_pixels,haemorrhages_area_ratio,haemorrhages_presence,haemorrhages_prob_mean,haemorrhages_prob_max,haemorrhages_component_count,haemorrhages_largest_component_area_pixels,haemorrhages_largest_component_area_ratio,hard_exudates_area_pixels,hard_exudates_area_ratio,hard_exudates_presence,hard_exudates_prob_mean,hard_exudates_prob_max,hard_exudates_component_count,hard_exudates_largest_component_area_pixels,hard_exudates_largest_component_area_ratio,soft_exudates_area_pixels,soft_exudates_area_ratio,soft_exudates_presence,soft_exudates_prob_mean,soft_exudates_prob_max,soft_exudates_component_count,soft_exudates_largest_component_area_pixels,soft_exudates_largest_component_area_ratio,lesion_presence_count
APTOS2019,train,1ae8c165fd53,2,Moderate,D:\retinaguard-ai\data\raw\APTOS2019\train_images\1ae8c165fd53.png,668,0.0025482177734375,680,0.002593994140625,20,7.62939453125e-05,1,0.0139923095703125,0.37353515625,6,10,3.814697265625e-05,9,3.4332275390625e-05,1,0.003009796142578125,0.87744140625,1,9,3.4332275390625e-05,100,0.0003814697265625,1,0.00620269775390625,0.99755859375,7,45,0.000171661376953125,551,0.002101898193359375,1,0.0241546630859375,0.9716796875,6,210,0.00080108642578125,4
APTOS2019,train,1b329a127307,1,Mild,D:\retinaguard-ai\data\raw\APTOS2019\train_images\1b329a127307.png,1332,0.0050811767578125,1412,0.0053863525390625,90,0.00034332275390625,1,0.01265716552734375,0.343505859375,9,33,0.000125885009765625,310,0.00118255615234375,1,0.00370025634765625,0.99658203125,7,177,0.000675201416015625,169,0.000644683837890625,1,0.005580902099609375,0.9990234375,9,68,0.0002593994140625,843,0.003215789794921875,1,0.02581787109375,0.98046875,3,603,0.002300262451171875,4
APTOS2019,train,1b32e1d775ea,4,Proliferative DR,D:\retinaguard-ai\data\raw\APTOS2019\train_images\1b32e1d775ea.png,4392,0.016754150390625,4752,0.01812744140625,231,0.000881195068359375,1,0.01480865478515625,0.39697265625,36,36,0.0001373291015625,1185,0.004520416259765625,1,0.007282257080078125,0.994140625,16,258,0.00098419189453125,2678,0.01021575927734375,1,0.016998291015625,0.99609375,45,509,0.001941680908203125,658,0.00251007080078125,1,0.0281829833984375,0.97802734375,12,288,0.0010986328125,4
APTOS2019,train,1b3647865779,0,No DR,D:\retinaguard-ai\data\raw\APTOS2019\train_images\1b3647865779.png,427,0.001628875732421875,451,0.001720428466796875,34,0.00012969970703125,1,0.0172271728515625,0.2548828125,9,11,4.1961669921875e-05,417,0.001590728759765625,1,0.005702972412109375,0.99609375,4,390,0.00148773193359375,0,0.0,0,0.00640869140625,0.492431640625,0,0,0.0,0,0.0,0,0.0260009765625,0.6943359375,0,0,0.0,2
APTOS2019,train,1b398c0494d1,0,No DR,D:\retinaguard-ai\data\raw\APTOS2019\train_images\1b398c0494d1.png,46,0.00017547607421875,46,0.00017547607421875,14,5.340576171875e-05,1,0.0132293701171875,0.255615234375,8,4,1.52587890625e-05,0,0.0,0,0.0029296875,0.21435546875,0,0,0.0,0,0.0,0,0.0054931640625,0.1533203125,0,0,0.0,32,0.0001220703125,1,0.0213623046875,0.88427734375,1,32,0.0001220703125,2
APTOS2019,train,1b4625877527,2,Moderate,D:\retinaguard-ai\data\raw\APTOS2019\train_images\1b4625877527.png,3886,0.01482391357421875,4223,0.016109466552734375,333,0.001270294189453125,1,0.01486968994140625,0.375732421875,42,43,0.000164031982421875,1895,0.007228851318359375,1,0.009765625,0.99609375,19,523,0.001995086669921875,1213,0.004627227783203125,1,0.0109405517578125,0.99853515625,25,227,0.000865936279296875,782,0.00298309326171875,1,0.0291290283203125,0.97998046875,5,598,0.00228118896484375,4
APTOS2019,train,1b495ac025b7,3,Severe,D:\retinaguard-ai\data\raw\APTOS2019\train_images\1b495ac025b7.png,6187,0.023601531982421875,6879,0.026241302490234375,748,0.0028533935546875,1,0.0150909423828125,0.47998046875,78,30,0.00011444091796875,5243,0.020000457763671875,1,0.02191162109375,0.9970703125,42,749,0.002857208251953125,358,0.00136566162109375,1,0.007232666015625,0.99560546875,17,64,0.000244140625,530,0.00202178955078125,1,0.0233917236328125,0.98095703125,2,416,0.0015869140625,4
APTOS2019,train,1b862fb6f65d,0,No DR,D:\retinaguard-ai\data\raw\APTOS2019\train_images\1b862fb6f65d.png,174,0.00066375732421875,210,0.00080108642578125,46,0.00017547607421875,1,0.01317596435546875,0.281982421875,9,19,7.2479248046875e-05,91,0.000347137451171875,1,0.0031909942626953125,0.98291015625,3,75,0.000286102294921875,11,4.1961669921875e-05,1,0.005588531494140625,0.95263671875,2,10,3.814697265625e-05,62,0.00023651123046875,1,0.0213470458984375,0.9423828125,4,56,0.000213623046875,4
APTOS2019,train,1b8701231c8f,0,No DR,D:\retinaguard-ai\data\raw\APTOS2019\train_images\1b8701231c8f.png,90,0.00034332275390625,103,0.000392913818359375,35,0.000133514404296875,1,0.0134735107421875,0.277587890625,8,12,4.57763671875e-05,66,0.00025177001953125,1,0.0032501220703125,0.96240234375,3,36,0.0001373291015625,0,0.0,0,0.00525665283203125,0.4111328125,0,0,0.0,2,7.62939453125e-06,1,0.0206146240234375,0.783203125,2,1,3.814697265625e-06,3
APTOS2019,train,1b8ad0afe9fb,2,Moderate,D:\retinaguard-ai\data\raw\APTOS2019\train_images\1b8ad0afe9fb.png,735,0.002803802490234375,947,0.003612518310546875,239,0.000911712646484375,1,0.014190673828125,0.384521484375,15,133,0.000507354736328125,300,0.0011444091796875,1,0.00464630126953125,0.99609375,8,126,0.00048065185546875,252,0.0009613037109375,1,0.007183074951171875,0.998046875,8,150,0.00057220458984375,156,0.0005950927734375,1,0.0229644775390625,0.95458984375,5,126,0.00048065185546875,4
APTOS2019,train,1bb0ddfe753a,1,Mild,D:\retinaguard-ai\data\raw\APTOS2019\train_images\1bb0ddfe753a.png,2838,0.01082611083984375,3005,0.011463165283203125,176,0.00067138671875,1,0.0131072998046875,0.39013671875,11,31,0.000118255615234375,473,0.001804351806640625,1,0.004413604736328125,0.9931640625,6,167,0.000637054443359375,2356,0.0089874267578125,1,0.01529693603515625,0.9990234375,45,924,0.0035247802734375,0,0.0,0,0.0211029052734375,0.455078125,0,0,0.0,3
APTOS2019,train,1bea04b2bb2d,2,Moderate,D:\retinaguard-ai\data\raw\APTOS2019\train_images\1bea04b2bb2d.png,4885,0.018634796142578125,5142,0.01961517333984375,281,0.001071929931640625,1,0.014556884765625,0.418212890625,26,54,0.00020599365234375,1758,0.00670623779296875,1,0.00926971435546875,0.99609375,12,910,0.00347137451171875,2578,0.00983428955078125,1,0.0164947509765625,0.99755859375,37,509,0.001941680908203125,525,0.002002716064453125,1,0.0246124267578125,0.97705078125,3,494,0.00188446044921875,4
APTOS2019,train,1bf30c84bbad,4,Proliferative DR,D:\retinaguard-ai\data\raw\APTOS2019\train_images\1bf30c84bbad.png,1886,0.00719451904296875,2083,0.007946014404296875,214,0.00081634521484375,1,0.01464080810546875,0.343505859375,19,43,0.000164031982421875,1190,0.00453948974609375,1,0.007251739501953125,0.9951171875,6,508,0.0019378662109375,0,0.0,0,0.00567626953125,0.16259765625,0,0,0.0,679,0.002590179443359375,1,0.02532958984375,0.974609375,4,306,0.00116729736328125,3
APTOS2019,train,1c0cf251b426,1,Mild,D:\retinaguard-ai\data\raw\APTOS2019\train_images\1c0cf251b426.png,676,0.0025787353515625,824,0.003143310546875,175,0.000667572021484375,1,0.0128021240234375,0.422607421875,22,20,7.62939453125e-05,523,0.001995086669921875,1,0.004547119140625,0.99560546875,14,163,0.000621795654296875,123,0.000469207763671875,1,0.006046295166015625,0.994140625,11,54,0.00020599365234375,3,1.1444091796875e-05,1,0.01947021484375,0.810546875,1,3,1.1444091796875e-05,4
APTOS2019,train,1c0e5dd1b14c,2,Moderate,D:\retinaguard-ai\data\raw\APTOS2019\train_images\1c0e5dd1b14c.png,5557,0.021198272705078125,5997,0.022876739501953125,477,0.001819610595703125,1,0.01456451416015625,0.50732421875,33,54,0.00020599365234375,1422,0.00542449951171875,1,0.008026123046875,0.99755859375,15,264,0.001007080078125,3210,0.01224517822265625,1,0.0196533203125,0.998046875,57,470,0.00179290771484375,888,0.003387451171875,1,0.02703857421875,0.9794921875,9,235,0.000896453857421875,4
APTOS2019,train,1c13a1483f4a,0,No DR,D:\retinaguard-ai\data\raw\APTOS2019\train_images\1c13a1483f4a.png,112,0.00042724609375,127,0.000484466552734375,37,0.000141143798828125,1,0.01323699951171875,0.294677734375,14,12,4.57763671875e-05,70,0.00026702880859375,1,0.0032672882080078125,0.94140625,5,25,9.5367431640625e-05,6,2.288818359375e-05,1,0.005542755126953125,0.82763671875,1,6,2.288818359375e-05,14,5.340576171875e-05,1,0.0211944580078125,0.84130859375,2,12,4.57763671875e-05,4
APTOS2019,train,1c3a6b4449e9,1,Mild,D:\retinaguard-ai\data\raw\APTOS2019\train_images\1c3a6b4449e9.png,66,0.00025177001953125,99,0.000377655029296875,45,0.000171661376953125,1,0.01262664794921875,0.380126953125,6,21,8.0108642578125e-05,54,0.00020599365234375,1,0.002910614013671875,0.96240234375,4,29,0.000110626220703125,0,0.0,0,0.0052337646484375,0.142333984375,0,0,0.0,0,0.0,0,0.0193939208984375,0.463134765625,0,0,0.0,2
APTOS2019,train,1c47815f4a6b,0,No DR,D:\retinaguard-ai\data\raw\APTOS2019\train_images\1c47815f4a6b.png,479,0.001827239990234375,564,0.0021514892578125,81,0.000308990478515625,1,0.01526641845703125,0.250244140625,13,22,8.392333984375e-05,8,3.0517578125e-05,1,0.004177093505859375,0.5029296875,1,8,3.0517578125e-05,30,0.00011444091796875,1,0.00695037841796875,0.9814453125,4,11,4.1961669921875e-05,445,0.001697540283203125,1,0.0260009765625,0.986328125,2,436,0.0016632080078125,4
APTOS2019,train,1c4d87baaffc,2,Moderate,D:\retinaguard-ai\data\raw\APTOS2019\train_images\1c4d87baaffc.png,861,0.003284454345703125,1062,0.00405120849609375,216,0.000823974609375,1,0.01331329345703125,0.412841796875,18,34,0.00012969970703125,769,0.002933502197265625,1,0.005558013916015625,0.9970703125,13,344,0.001312255859375,63,0.000240325927734375,1,0.005695343017578125,0.99072265625,5,18,6.866455078125e-05,14,5.340576171875e-05,1,0.0205841064453125,0.91064453125,1,14,5.340576171875e-05,4
APTOS2019,train,1c4f3aa4df06,4,Proliferative DR,D:\retinaguard-ai\data\raw\APTOS2019\train_images\1c4f3aa4df06.png,2475,0.009441375732421875,2893,0.011035919189453125,362,0.00138092041015625,1,0.01458740234375,0.52392578125,33,41,0.000156402587890625,886,0.00337982177734375,1,0.00606536865234375,0.99658203125,12,295,0.001125335693359375,746,0.00284576416015625,1,0.00951385498046875,0.99609375,28,77,0.000293731689453125,899,0.003429412841796875,1,0.0272216796875,0.98291015625,16,330,0.00125885009765625,4
APTOS2019,train,1c578b72d7b3,2,Moderate,D:\retinaguard-ai\data\raw\APTOS2019\train_images\1c578b72d7b3.png,2263,0.008632659912109375,2485,0.009479522705078125,237,0.000904083251953125,1,0.013885498046875,0.3896484375,19,58,0.00022125244140625,333,0.001270294189453125,1,0.004093170166015625,0.99462890625,8,120,0.000457763671875,1217,0.004642486572265625,1,0.01113128662109375,0.998046875,49,157,0.000598907470703125,698,0.00266265869140625,1,0.024810791015625,0.97900390625,4,431,0.001644134521484375,4
APTOS2019,train,1c5ad36fb799,2,Moderate,D:\retinaguard-ai\data\raw\APTOS2019\train_images\1c5ad36fb799.png,1878,0.00716400146484375,2140,0.0081634521484375,264,0.001007080078125,1,0.01438140869140625,0.450927734375,20,46,0.00017547607421875,451,0.001720428466796875,1,0.004505157470703125,0.99560546875,8,255,0.000972747802734375,781,0.002979278564453125,1,0.00994110107421875,0.99658203125,37,88,0.000335693359375,644,0.0024566650390625,1,0.0258331298828125,0.97900390625,8,239,0.000911712646484375,4
