dataset,split,triage_decision,count
APTOS2019,test,follow_up_recommended,5
APTOS2019,test,low_risk_follow_up,1
APTOS2019,test,manual_review_required,263
APTOS2019,test,routine_referral,8
APTOS2019,test,safe_negative_prediction,76
APTOS2019,test,urgent_referral,13
APTOS2019,train,follow_up_recommended,38
APTOS2019,train,low_risk_follow_up,2
APTOS2019,train,manual_review_required,2146
APTOS2019,train,routine_referral,63
APTOS2019,train,safe_negative_prediction,526
APTOS2019,train,urgent_referral,155
APTOS2019,valid,follow_up_recommended,11
APTOS2019,valid,low_risk_follow_up,1
APTOS2019,valid,manual_review_required,283
APTOS2019,valid,routine_referral,5
APTOS2019,valid,safe_negative_prediction,53
APTOS2019,valid,urgent_referral,13
IDRiD,test,follow_up_recommended,11
IDRiD,test,manual_review_required,81
IDRiD,test,routine_referral,1
IDRiD,test,urgent_referral,10
